seed,split,fold,n_train,n_valid,n_test,test_pos_rate,acc,auroc,aupr,f1,val_acc,val_auroc,val_aupr,val_f1,test_categories
49,disease_area,3,6842,1454,1157,0.4140017286084702,0.8167675021607606,0.9194086746602127,0.8943417019325995,0.7343358395989975,0.8535075653370013,0.9511008334537747,0.9348733812049755,0.8155844155844156,C12|C19
49,disease_area,4,7386,1000,1067,0.5998125585754451,0.8134957825679475,0.9355459601873537,0.9457710763265963,0.8252853380158034,0.861,0.9513479257056501,0.9354111851776243,0.8277571251548946,C09|C14
49,disease_area,5,7418,735,1300,0.5707692307692308,0.7630769230769231,0.9058729192630592,0.9304602223964399,0.7487765089722674,0.8653061224489796,0.9609398678547615,0.9688972512460529,0.8729139922978177,C05|C18
49,disease_area,6,6829,1674,950,0.5052631578947369,0.7189473684210527,0.8963718971631206,0.8855128599052078,0.6491458607095927,0.8225806451612904,0.9369349057362453,0.9265915108371428,0.7836853605243992,C10
49,disease_area,7,6914,1070,1469,0.5262083049693669,0.7556160653505786,0.8838251475814486,0.8888752911384854,0.7197501951600311,0.7794392523364486,0.9137737880726994,0.9284227512652884,0.7892857142857144,A10|C08|C16|C18|C26
49,disease_area,8,7487,1016,950,0.5052631578947369,0.7231578947368421,0.9029255319148937,0.8854934635008009,0.6571056062581486,0.6899606299212598,0.8515403555710657,0.8536741812119446,0.608695652173913,C10
49,disease_area,9,7240,950,1263,0.5779889152810768,0.8709422011084719,0.9536868076794572,0.9647433941390486,0.8833214030064424,0.7252631578947368,0.9090602836879432,0.8934345287006829,0.6579292267365662,C06|C17
50,disease_area,0,7601,935,970,0.4536082474226804,0.8711340206185567,0.9633233276157804,0.9552380425250715,0.8435544430538172,0.8737967914438503,0.9589140170797519,0.9650844904230119,0.8803245436105477,C07|C11|C15
50,disease_area,1,7421,704,1381,0.5879797248370746,0.8124547429398986,0.9373782541317841,0.9501067396406662,0.822481151473612,0.8863636363636364,0.9565948056357154,0.9686978551869196,0.9022004889975549,C11|C14|C25
50,disease_area,2,7475,884,1147,0.5710549258936356,0.8273757628596339,0.9353068950536834,0.9401473611645297,0.8338926174496644,0.8959276018099548,0.9678035247206482,0.9694992537335054,0.8930232558139535,C07|C14
50,disease_area,3,7602,889,1015,0.4541871921182266,0.819704433497537,0.94298221571376,0.9317195789734419,0.7668789808917198,0.8650168728908887,0.9540889378753387,0.962369365628995,0.8739495798319328,C01|C15|F03
50,disease_area,4,7405,1125,976,0.4918032786885246,0.7069672131147541,0.8880460349462366,0.8701531264564628,0.6135135135135135,0.6808888888888889,0.8386592885375495,0.8227115089518864,0.5731272294887039,C10
50,disease_area,5,6656,976,1874,0.5490928495197439,0.7289220917822838,0.8957337795642348,0.9002132969103673,0.6936067551266586,0.7049180327868853,0.8956401209677419,0.8758031448965453,0.6043956043956044,C14|C18|C25
50,disease_area,6,7313,1009,1184,0.6368243243243243,0.8336148648648649,0.9448214175559805,0.9648803616777856,0.8567272727272727,0.7026759167492567,0.8657298555465561,0.8442974512973259,0.6073298429319371,C05|C17
50,disease_area,7,7235,1009,1262,0.5681458003169572,0.7892234548335975,0.9279746138983789,0.941339021487464,0.7861736334405144,0.8711595639246779,0.9644882230348787,0.9625789791067421,0.8558758314855877,C08|C16|C23
50,disease_area,8,7075,1143,1288,0.6001552795031055,0.8493788819875776,0.9425237694520152,0.9571987095365777,0.8656509695290859,0.8810148731408574,0.9682988420793299,0.9632474008749711,0.8603696098562629,C08|C17|C25
50,disease_area,9,7257,902,1347,0.5909428359317,0.8433556050482554,0.9439917372707458,0.9588786247937566,0.8557758031442242,0.7427937915742794,0.8918326329252695,0.8744916029434825,0.6547619047619048,C08|C20|C23|F01
51,disease_area,0,7430,820,1219,0.48974569319114025,0.7432321575061526,0.8955899540575332,0.8938686518297548,0.6630785791173305,0.8353658536585366,0.9325716003908894,0.951206749330333,0.8537378114842904,C07|C11|C18|C26
51,disease_area,1,6626,1669,1174,0.520442930153322,0.813458262350937,0.9275915498280487,0.9302231714952157,0.796657381615599,0.762732174955063,0.910816756620808,0.9207588521592269,0.736,C01|C11|C23
51,disease_area,2,7279,512,1678,0.4511323003575685,0.8009535160905841,0.9052204757048582,0.8866050775478027,0.7386541471048514,0.86328125,0.9371252204585538,0.9644451703160544,0.8952095808383234,A10|C12|C18
51,disease_area,3,7181,1055,1233,0.5660989456609895,0.8142741281427412,0.9309723375197493,0.9440502474426974,0.8169464428457234,0.7203791469194313,0.8790201285289693,0.8638667776437952,0.6270543615676359,C08|C23
51,disease_area,4,7532,873,1064,0.46146616541353386,0.8731203007518797,0.9588864837582594,0.9509635597938112,0.8540540540540541,0.7468499427262314,0.8625934396374648,0.8878840646462465,0.7321212121212121,C04|C19
51,disease_area,5,7481,906,1082,0.5526802218114603,0.8530499075785583,0.9415406727659692,0.9435073473435669,0.8566275924256087,0.7350993377483444,0.8879581205155495,0.9199135517129491,0.7391304347826086,A10|C05|C16|C19|C20|C25|F01
51,disease_area,6,7429,220,1820,0.46263736263736266,0.789010989010989,0.8940964885436855,0.8777030164847583,0.7325905292479108,0.41818181818181815,0.512735326688815,0.5849405174297022,0.189873417721519,C10|C12
51,disease_area,7,7563,892,1014,0.48717948717948717,0.863905325443787,0.9513975397072563,0.946132033795539,0.8506493506493507,0.7286995515695067,0.8769797309943296,0.8438935862429755,0.6058631921824104,C06|C07|C19|F01
51,disease_area,8,7027,1265,1177,0.47748513169073914,0.8836023789294817,0.9561872522639818,0.9522518148604048,0.8713615023474179,0.8592885375494071,0.9585113987988083,0.9710996717201201,0.8732193732193733,C06|C15
51,disease_area,9,6572,1792,1105,0.4968325791855204,0.8515837104072398,0.9493487177471138,0.9449859747736199,0.8373015873015873,0.80859375,0.9360853697000644,0.9396124043538819,0.7969212551805803,C04|C11
